Exit Code	Error message	Map	Action Sequence
REJECTION	"**** Error reading file by readAllLines
"	"b'\xf0\xb5\xf9$\xe7h\xd9LH\x95\x96a.\xe6\x80\x04\xd7\x1d'"	SQLEDDDQQDWRWWEQUQWDSUUQUDSRDEWLDWLQRER
REJECTION	"**** Error reading file by readAllLines
"	"b'\xc5kc\xa8\xa9\xe4\xda\x88\xb2\x87\xed\xf5\x15r/\x0e\xf2\x8d\xc6\xa9\x07\xba\x85\xb6\xa2G\xd3\xa3\x8c\xab\xcb'"	WWLQLEEWELSESQSDLUWESDERSQQRWERUWRQRDSDDLUL
REJECTION	"**** Error reading file by readAllLines
"	"b'U\x0f\x1f\x1b\xd0]9\xff\x08\xcb|\x80\xe1\x80\x1e]Y\x8e\xb2\xf3\xab8\x83C\xb4\xcf\n\x1e'"	RSWDSSUSRDRSLQQLSRQUURSWDLUQQSQLSWULEREQLEEQQEEW
REJECTION	"**** Unknown character
"	"b'o\x0eU'"	ELESUWEWQ
REJECTION	"**** Error reading file by readAllLines
"	"b'\xda\xb8q\x19\xd7\xf2z\x12\xed\xfb}j\r\x03\xba\xb0\xd9\xd5\x122~\xfe\x9d\xcd\xc13}\x01m\xea\xdbb\xe9\xea'"	ULSLUUURRQSWRRESUDQRULQSEQSRRU
REJECTION	"**** Error reading file by readAllLines
"	"b'\xa89\xc1\xd6\xed\xb6T.\xd7\xaa"\x03\x15\xf7L\xb2\x1dD\xf1{\xe9\x01\xcd\x81H[\xbft\x9f7^\x9c\xbb\xb2pp/\xaaw;\xf4T\x86\xb4\xcd7\x8e\x0e(\xfaR\x18U\xb3%\x14%\xa1\x13\tmsLY\x1e\xfbf\xcd\xff\xa7\x05'"	LREQRELSWDULWRSLRLDQSDRUSLUDSDDRWSDLSWL
REJECTION	"**** Error reading file by readAllLines
"	"b'G\xd5bS'"	LWRWREQDRRRSLQQDLLEDSRURDWEEUSLSULWEUDEELSLDE
REJECTION	"**** Error reading file by readAllLines
"	"b'\xdb;(\x8e\x89\xc7,\xd9\xa7\x06g\n\xfd\xfa\xb0x\x13\xdbz\xfa\xad'"	RUDSSRQDRWLRLRDQSEWESREEUURQDQRURR
REJECTION	"**** Error reading file by readAllLines
"	"b'\xd3\x14*\x19&.\xc1\x91\x8e\xd7\xc5\x16\x1e\xf9D\xaeh\xa1i{\xd8q\xaf\xdf9\xc2\xa5\x04E5u\xdb\xabL\xc4\xc3!\x9d\xaeG\x12"\x0b\xc1)\xe8\xe2\xe8ja\xb9\x08\rV\xee-Oa\xeb\xa7\x1bl\xc9\xd9\x91\xa7e\xc1e\x7fW\xa3\x99(\xd8I\xbd-B\x97\x06\xae\xcb\x18\xeb\x85u\xf4\xd01'"	UEUWSRQLSSLWLRWLSU
REJECTION	"**** Error reading file by readAllLines
"	"b'\xcd@B\x19\xde_\xbbN\x05\x81\xd2&\x8b!\x84\xe5\x1e\x0c\x00<\xc6P}\xdaJ`Y\xc7%\xd7\xdf\xc5g\xe4D~V\xc6\xd9\xcaj\x7f]n\xb0<C\x14\x86\xf7\x08\xe5U\xc7\xde(0\x95\xdf\x07\xd4\xc2D\xebHR\xaf{m\xd7Y1\xee\x91\x8a(W"\x9b\xb9\x93\xe8y{d\xdf\x1a>s\xc1\xf1\x99\x99_\t'"	UDDQSRESLESDRDDLLRQRRWDLULQULWQDDSUEESQQS
REJECTION	"**** Error reading file by readAllLines
"	"b'ti\xbd\x15\t\x13\xa0\x1b\x17Z\x9b\xbb!\xe1\x03\xf4s\xd2}'"	RQQQQWDLRQEDDUEUDEDWWLUEDRDLULRRSLSWR
REJECTION	"**** Error reading file by readAllLines
"	"b"\x9e\r\xa3<\xf8\x16 Q\x8f9T'\xc9FT\xc9t\x1b/\xc1\x8d\xad\xf80\xa6\x95\x01=\x08u\x0f\n\x0b]\xc3\xef\xadC\xfbj\xff1\xf5\x1d\xaaM:a\x964l\xbf2\xc6\xe2\xd5\xa29\x85^""	RSRLWDSLRLUSERSDQQDQSRRQWLUQERE
REJECTION	"**** Error reading file by readAllLines
"	"b'\xf7\x0b\xe8\\\x04E\xef\xa0\x0b/\x89\xaa\xfcd\xdfv\xfa\xb0c\x0f\x96,\x00*\xa2\x80Q\xde\x00\x00\x1aam\xeaE\x1c0\xba3-\xf7\x18\xb1\rYB\x9c'"	DLLSDDSQDWUDSQU
REJECTION	"**** Error reading file by readAllLines
"	"b'\x8a_\x00\x99jX\xd5\xadmQ\x86\x83\xb7|}\xab0\xe5\xf6\xae5\xe2\xae\x87\xe8r#^\xf3\xf8#'"	USQEDWEWUEEREWSQR
REJECTION	"**** Error reading file by readAllLines
"	"b'\x1c-\xcd\x12:\xa4\x9b:T\xaf\xbf\xfc\x07\xf0:\xa1\xdd\x91\x96\xc8(v|{\x9e\xccs\xf7'"	LLWWQDQLRQUQQSWRWLSDUESUERLWDWLDRLLQSUUUDQUQLU
REJECTION	"**** Error reading file by readAllLines
"	"b';2\xaeZ\x94\xaf\xbd\xe4\xa6{\xef\xdaF\xde \x155\x9f7]\xc1\xf4O\x9bD\xf2'"	RWURWRESUEEQLSELWSLRUDESUSWWDSWSERQLWWLEEEDDQESS
REJECTION	"**** Error reading file by readAllLines
"	"b'~\xe9\xe0yM\t\x7fv\x8d\x8e\xab\xdbp\xb1L.\x1f\x1c\xd5\x1c\xdd;\x00E\x96\xa4\x83\xf3\x19\xe6\xac>\xd6\xae\xcdVT|\xc4Q\x1b\xae\xaf7\xd8\x97\xae\xb3zMT_\xf8\xb3\xa7\xc8\xf8\x13\xdd\xd7\x9c#\xef\xbd\\B\xaf\x1c\x80'"	LQLEDQWUQSS
REJECTION	"**** Error reading file by readAllLines
"	"b'\x1d\xad\xdf_\x08\xf2P(r\xb8\xf8\xba\x19\xa5\x90a>\xads+\x03 \x18)\x9dt\xb4f\xb7\xbb\x80\xe4n\xe9j\xfb\xe9t\xfd\xda\xf3\x9c\x9a\xef\x1c\x94Y\x82\xa9\x0b\xfdBx\x1eF\xe4\xba\x12\xe8'"	WRWUQUU
